,Party,2019,2014,%2019,%2014,municipality
13,Collectif Citoyen,91,-,"1,30%",-,Florennes
14,LA DROITE,70,96,"1,00%","1,37%",Florennes
15,AGIR,48,-,"0,69%",-,Florennes
16,MG,-,8,-,"0,11%",Florennes
17,DEBOUT LES BELGES,-,202,-,"2,87%",Florennes
18,R.W.F.,-,39,-,"0,55%",Florennes
19,B.U.B.- Belg.Unie,-,11,-,"0,16%",Florennes
20,FW,-,18,-,"0,26%",Florennes
21,NWA,-,16,-,"0,23%",Florennes
22,Vox Populi Belgica,-,26,-,"0,37%",Florennes
0,ECOLO,1.102,757,"21,27%","15,24%",Floreffe
1,CDH,963,830,"18,59%","16,71%",Floreffe
2,MR,714,1.107,"13,78%","22,29%",Floreffe
3,PARTI POPULAIRE,150,235,"2,90%","4,73%",Floreffe
4,VLAAMS BELANG,23,-,"0,44%",-,Floreffe
5,DéFI,488,-,"9,42%",-,Floreffe
6,FDF,-,138,-,"2,78%",Floreffe
7,PTB,518,-,"10,00%",-,Floreffe
8,PTB-GO!,-,284,-,"5,72%",Floreffe
9,LISTES DESTEXHE,71,-,"1,37%",-,Floreffe
10,PS,947,1.274,"18,28%","25,65%",Floreffe
11,DierAnimal,80,-,"1,54%",-,Floreffe
12,NATION,28,38,"0,54%","0,77%",Floreffe
13,Collectif Citoyen,39,-,"0,75%",-,Floreffe
14,LA DROITE,38,68,"0,73%","1,37%",Floreffe
15,AGIR,20,-,"0,39%",-,Floreffe
16,MG,-,5,-,"0,10%",Floreffe
17,DEBOUT LES BELGES,-,133,-,"2,68%",Floreffe
18,R.W.F.,-,42,-,"0,85%",Floreffe
19,B.U.B.- Belg.Unie,-,12,-,"0,24%",Floreffe
20,FW,-,13,-,"0,26%",Floreffe
21,NWA,-,15,-,"0,30%",Floreffe
22,Vox Populi Belgica,-,15,-,"0,30%",Floreffe
0,ECOLO,735,485,"11,82%","7,94%",Fosses-la-Ville
1,CDH,989,891,"15,91%","14,58%",Fosses-la-Ville
2,MR,1.049,1.455,"16,87%","23,81%",Fosses-la-Ville
3,PARTI POPULAIRE,285,359,"4,58%","5,87%",Fosses-la-Ville
4,VLAAMS BELANG,49,-,"0,79%",-,Fosses-la-Ville
5,DéFI,292,-,"4,70%",-,Fosses-la-Ville
6,FDF,-,196,-,"3,21%",Fosses-la-Ville
7,PTB,925,-,"14,88%",-,Fosses-la-Ville
8,PTB-GO!,-,364,-,"5,96%",Fosses-la-Ville
9,LISTES DESTEXHE,87,-,"1,40%",-,Fosses-la-Ville
10,PS,1.544,1.874,"24,84%","30,66%",Fosses-la-Ville
11,DierAnimal,78,-,"1,25%",-,Fosses-la-Ville
12,NATION,39,44,"0,63%","0,72%",Fosses-la-Ville
13,Collectif Citoyen,33,-,"0,53%",-,Fosses-la-Ville
14,LA DROITE,65,106,"1,05%","1,73%",Fosses-la-Ville
15,AGIR,47,-,"0,76%",-,Fosses-la-Ville
16,MG,-,12,-,"0,20%",Fosses-la-Ville
17,DEBOUT LES BELGES,-,215,-,"3,52%",Fosses-la-Ville
18,R.W.F.,-,35,-,"0,57%",Fosses-la-Ville
19,B.U.B.- Belg.Unie,-,11,-,"0,18%",Fosses-la-Ville
20,FW,-,19,-,"0,31%",Fosses-la-Ville
21,NWA,-,18,-,"0,29%",Fosses-la-Ville
22,Vox Populi Belgica,-,28,-,"0,46%",Fosses-la-Ville
0,ECOLO,1.042,665,"12,73%","8,32%",Mettet
1,CDH,1.635,1.392,"19,98%","17,42%",Mettet
2,MR,1.420,2.017,"17,35%","25,23%",Mettet
3,PARTI POPULAIRE,413,516,"5,05%","6,46%",Mettet
4,VLAAMS BELANG,82,-,"1,00%",-,Mettet
5,DéFI,329,-,"4,02%",-,Mettet
6,FDF,-,230,-,"2,88%",Mettet
7,PTB,1.077,-,"13,16%",-,Mettet
8,PTB-GO!,-,402,-,"5,03%",Mettet
9,LISTES DESTEXHE,129,-,"1,58%",-,Mettet
10,PS,1.732,2.187,"21,17%","27,36%",Mettet
11,DierAnimal,79,-,"0,97%",-,Mettet
12,NATION,45,71,"0,55%","0,89%",Mettet
13,Collectif Citoyen,36,-,"0,44%",-,Mettet
14,LA DROITE,98,145,"1,20%","1,81%",Mettet
15,AGIR,66,-,"0,81%",-,Mettet
16,MG,-,16,-,"0,20%",Mettet
17,DEBOUT LES BELGES,-,189,-,"2,36%",Mettet
18,R.W.F.,-,48,-,"0,60%",Mettet
19,B.U.B.- Belg.Unie,-,23,-,"0,29%",Mettet
20,FW,-,25,-,"0,31%",Mettet
21,NWA,-,21,-,"0,26%",Mettet
22,Vox Populi Belgica,-,46,-,"0,58%",Mettet
0,ECOLO,1.276,1.046,"16,35%","13,76%",Profondeville
1,CDH,2.113,1.211,"27,07%","15,94%",Profondeville
2,MR,1.576,2.448,"20,19%","32,21%",Profondeville
3,PARTI POPULAIRE,188,329,"2,41%","4,33%",Profondeville
4,VLAAMS BELANG,38,-,"0,49%",-,Profondeville
5,DéFI,435,-,"5,57%",-,Profondeville
6,FDF,-,198,-,"2,61%",Profondeville
7,PTB,675,-,"8,65%",-,Profondeville
8,PTB-GO!,-,306,-,"4,03%",Profondeville
9,LISTES DESTEXHE,144,-,"1,84%",-,Profondeville
10,PS,1.073,1.629,"13,75%","21,44%",Profondeville
11,DierAnimal,107,-,"1,37%",-,Profondeville
12,NATION,43,18,"0,55%","0,24%",Profondeville
13,Collectif Citoyen,35,-,"0,45%",-,Profondeville
14,LA DROITE,65,117,"0,83%","1,54%",Profondeville
15,AGIR,37,-,"0,47%",-,Profondeville
16,MG,-,4,-,"0,05%",Profondeville
17,DEBOUT LES BELGES,-,144,-,"1,89%",Profondeville
18,R.W.F.,-,57,-,"0,75%",Profondeville
19,B.U.B.- Belg.Unie,-,19,-,"0,25%",Profondeville
20,FW,-,8,-,"0,11%",Profondeville
21,NWA,-,17,-,"0,22%",Profondeville
22,Vox Populi Belgica,-,48,-,"0,63%",Profondeville
0,ECOLO,155,79,"7,17%","3,62%",Bievre
1,CDH,170,133,"7,87%","6,10%",Bievre
2,MR,1.148,1.518,"53,12%","69,60%",Bievre
3,PARTI POPULAIRE,55,38,"2,55%","1,74%",Bievre
4,VLAAMS BELANG,14,-,"0,65%",-,Bievre
5,DéFI,53,-,"2,45%",-,Bievre
6,FDF,-,13,-,"0,60%",Bievre
7,PTB,213,-,"9,86%",-,Bievre
8,PTB-GO!,-,41,-,"1,88%",Bievre
9,LISTES DESTEXHE,27,-,"1,25%",-,Bievre
10,PS,268,284,"12,40%","13,02%",Bievre
11,DierAnimal,20,-,"0,93%",-,Bievre
12,NATION,6,9,"0,28%","0,41%",Bievre
13,Collectif Citoyen,11,-,"0,51%",-,Bievre
14,LA DROITE,11,13,"0,51%","0,60%",Bievre
15,AGIR,10,-,"0,46%",-,Bievre
16,MG,-,4,-,"0,18%",Bievre
17,DEBOUT LES BELGES,-,37,-,"1,70%",Bievre
18,R.W.F.,-,3,-,"0,14%",Bievre
19,B.U.B.- Belg.Unie,-,0,-,"0,00%",Bievre
20,FW,-,3,-,"0,14%",Bievre
21,NWA,-,3,-,"0,14%",Bievre
22,Vox Populi Belgica,-,3,-,"0,14%",Bievre
0,ECOLO,321,195,"11,08%","6,52%",Gedinne
1,CDH,318,219,"10,97%","7,32%",Gedinne
2,MR,1.048,1.536,"36,16%","51,35%",Gedinne
3,PARTI POPULAIRE,42,62,"1,45%","2,07%",Gedinne
4,VLAAMS BELANG,41,-,"1,41%",-,Gedinne
5,DéFI,80,-,"2,76%",-,Gedinne
6,FDF,-,35,-,"1,17%",Gedinne
7,PTB,250,-,"8,63%",-,Gedinne
8,PTB-GO!,-,58,-,"1,94%",Gedinne
9,LISTES DESTEXHE,29,-,"1,00%",-,Gedinne
10,PS,701,780,"24,19%","26,08%",Gedinne
11,DierAnimal,25,-,"0,86%",-,Gedinne
12,NATION,5,5,"0,17%","0,17%",Gedinne
13,Collectif Citoyen,11,-,"0,38%",-,Gedinne
14,LA DROITE,19,24,"0,66%","0,80%",Gedinne
15,AGIR,8,-,"0,28%",-,Gedinne
16,MG,-,2,-,"0,07%",Gedinne
17,DEBOUT LES BELGES,-,46,-,"1,54%",Gedinne
18,R.W.F.,-,13,-,"0,43%",Gedinne
19,B.U.B.- Belg.Unie,-,5,-,"0,17%",Gedinne
20,FW,-,2,-,"0,07%",Gedinne
21,NWA,-,2,-,"0,07%",Gedinne
22,Vox Populi Belgica,-,7,-,"0,23%",Gedinne
0,ECOLO,169,88,"10,40%","5,17%",Vresse-sur-Semois
1,CDH,191,158,"11,75%","9,29%",Vresse-sur-Semois
2,MR,659,938,"40,55%","55,14%",Vresse-sur-Semois
3,PARTI POPULAIRE,30,34,"1,85%","2,00%",Vresse-sur-Semois
4,VLAAMS BELANG,29,-,"1,78%",-,Vresse-sur-Semois
5,DéFI,62,-,"3,82%",-,Vresse-sur-Semois
6,FDF,-,24,-,"1,41%",Vresse-sur-Semois
7,PTB,111,-,"6,83%",-,Vresse-sur-Semois
8,PTB-GO!,-,31,-,"1,82%",Vresse-sur-Semois
9,LISTES DESTEXHE,22,-,"1,35%",-,Vresse-sur-Semois
10,PS,303,350,"18,65%","20,58%",Vresse-sur-Semois
11,DierAnimal,18,-,"1,11%",-,Vresse-sur-Semois
12,NATION,5,5,"0,31%","0,29%",Vresse-sur-Semois
13,Collectif Citoyen,6,-,"0,37%",-,Vresse-sur-Semois
14,LA DROITE,10,26,"0,62%","1,53%",Vresse-sur-Semois
15,AGIR,10,-,"0,62%",-,Vresse-sur-Semois
16,MG,-,1,-,"0,06%",Vresse-sur-Semois
17,DEBOUT LES BELGES,-,23,-,"1,35%",Vresse-sur-Semois
18,R.W.F.,-,6,-,"0,35%",Vresse-sur-Semois
19,B.U.B.- Belg.Unie,-,3,-,"0,18%",Vresse-sur-Semois
20,FW,-,3,-,"0,18%",Vresse-sur-Semois
21,NWA,-,2,-,"0,12%",Vresse-sur-Semois
22,Vox Populi Belgica,-,9,-,"0,53%",Vresse-sur-Semois
0,ECOLO,3.459,1.814,"21,39%","11,68%",Gembloux
1,CDH,2.989,3.767,"18,48%","24,26%",Gembloux
2,MR,3.366,3.971,"20,81%","25,58%",Gembloux
3,PARTI POPULAIRE,395,540,"2,44%","3,48%",Gembloux
4,VLAAMS BELANG,78,-,"0,48%",-,Gembloux
5,DéFI,901,-,"5,57%",-,Gembloux
6,FDF,-,506,-,"3,26%",Gembloux
7,PTB,1.403,-,"8,67%",-,Gembloux
8,PTB-GO!,-,507,-,"3,27%",Gembloux
9,LISTES DESTEXHE,231,-,"1,43%",-,Gembloux
10,PS,2.754,3.623,"17,03%","23,34%",Gembloux
11,DierAnimal,205,-,"1,27%",-,Gembloux
12,NATION,70,67,"0,43%","0,43%",Gembloux
13,Collectif Citoyen,140,-,"0,87%",-,Gembloux
14,LA DROITE,112,172,"0,69%","1,11%",Gembloux
15,AGIR,70,-,"0,43%",-,Gembloux
16,MG,-,17,-,"0,11%",Gembloux
17,DEBOUT LES BELGES,-,261,-,"1,68%",Gembloux
18,R.W.F.,-,96,-,"0,62%",Gembloux
19,B.U.B.- Belg.Unie,-,54,-,"0,35%",Gembloux
20,FW,-,41,-,"0,26%",Gembloux
21,NWA,-,28,-,"0,18%",Gembloux
22,Vox Populi Belgica,-,61,-,"0,39%",Gembloux
0,ECOLO,1.365,1.162,"11,86%","7,41%",Jemeppe-sur-Sambre
1,CDH,1.230,1.607,"10,69%","10,25%",Jemeppe-sur-Sambre
2,MR,2.068,2.839,"17,97%","18,11%",Jemeppe-sur-Sambre
3,PARTI POPULAIRE,372,899,"3,23%","5,74%",Jemeppe-sur-Sambre
4,VLAAMS BELANG,74,-,"0,64%",-,Jemeppe-sur-Sambre
5,DéFI,597,-,"5,19%",-,Jemeppe-sur-Sambre
6,FDF,-,773,-,"4,93%",Jemeppe-sur-Sambre
7,PTB,1.745,-,"15,17%",-,Jemeppe-sur-Sambre
8,PTB-GO!,-,1.147,-,"7,32%",Jemeppe-sur-Sambre
9,LISTES DESTEXHE,164,-,"1,43%",-,Jemeppe-sur-Sambre
10,PS,3.369,5.826,"29,28%","37,17%",Jemeppe-sur-Sambre
11,DierAnimal,181,-,"1,57%",-,Jemeppe-sur-Sambre
12,NATION,92,136,"0,80%","0,87%",Jemeppe-sur-Sambre
13,Collectif Citoyen,56,-,"0,49%",-,Jemeppe-sur-Sambre
14,LA DROITE,122,233,"1,06%","1,49%",Jemeppe-sur-Sambre
15,AGIR,70,-,"0,61%",-,Jemeppe-sur-Sambre
16,MG,-,38,-,"0,24%",Jemeppe-sur-Sambre
17,DEBOUT LES BELGES,-,664,-,"4,24%",Jemeppe-sur-Sambre
18,R.W.F.,-,86,-,"0,55%",Jemeppe-sur-Sambre
19,B.U.B.- Belg.Unie,-,38,-,"0,24%",Jemeppe-sur-Sambre
20,FW,-,66,-,"0,42%",Jemeppe-sur-Sambre
21,NWA,-,52,-,"0,33%",Jemeppe-sur-Sambre
22,Vox Populi Belgica,-,108,-,"0,69%",Jemeppe-sur-Sambre
0,ECOLO,1.635,752,"10,22%","6,63%",Sambreville
1,CDH,1.128,1.035,"7,05%","9,12%",Sambreville
2,MR,1.556,3.806,"9,73%","33,54%",Sambreville
3,PARTI POPULAIRE,585,495,"3,66%","4,36%",Sambreville
4,VLAAMS BELANG,114,-,"0,71%",-,Sambreville
5,DéFI,970,-,"6,07%",-,Sambreville
6,FDF,-,302,-,"2,66%",Sambreville
7,PTB,2.496,-,"15,61%",-,Sambreville
8,PTB-GO!,-,595,-,"5,24%",Sambreville
9,LISTES DESTEXHE,183,-,"1,14%",-,Sambreville
10,PS,6.547,3.585,"40,94%","31,59%",Sambreville
11,DierAnimal,258,-,"1,61%",-,Sambreville
12,NATION,95,60,"0,59%","0,53%",Sambreville
13,Collectif Citoyen,82,-,"0,51%",-,Sambreville
14,LA DROITE,168,167,"1,05%","1,47%",Sambreville
15,AGIR,175,-,"1,09%",-,Sambreville
16,MG,-,20,-,"0,18%",Sambreville
17,DEBOUT LES BELGES,-,326,-,"2,87%",Sambreville
18,R.W.F.,-,70,-,"0,62%",Sambreville
19,B.U.B.- Belg.Unie,-,27,-,"0,24%",Sambreville
20,FW,-,44,-,"0,39%",Sambreville
21,NWA,-,20,-,"0,18%",Sambreville
22,Vox Populi Belgica,-,45,-,"0,40%",Sambreville
0,ECOLO,916,473,"17,65%","9,40%",Sombreffe
1,CDH,926,1.019,"17,84%","20,24%",Sombreffe
2,MR,1.030,1.321,"19,85%","26,24%",Sombreffe
3,PARTI POPULAIRE,161,228,"3,10%","4,53%",Sombreffe
4,VLAAMS BELANG,30,-,"0,58%",-,Sombreffe
5,DéFI,291,-,"5,61%",-,Sombreffe
6,FDF,-,174,-,"3,46%",Sombreffe
7,PTB,561,-,"10,81%",-,Sombreffe
8,PTB-GO!,-,187,-,"3,71%",Sombreffe
9,LISTES DESTEXHE,83,-,"1,60%",-,Sombreffe
10,PS,1.024,1.345,"19,73%","26,72%",Sombreffe
11,DierAnimal,63,-,"1,21%",-,Sombreffe
12,NATION,18,17,"0,35%","0,34%",Sombreffe
13,Collectif Citoyen,22,-,"0,42%",-,Sombreffe
14,LA DROITE,41,44,"0,79%","0,87%",Sombreffe
15,AGIR,24,-,"0,46%",-,Sombreffe
16,MG,-,7,-,"0,14%",Sombreffe
17,DEBOUT LES BELGES,-,108,-,"2,15%",Sombreffe
18,R.W.F.,-,25,-,"0,50%",Sombreffe
19,B.U.B.- Belg.Unie,-,15,-,"0,30%",Sombreffe
20,FW,-,37,-,"0,74%",Sombreffe
21,NWA,-,8,-,"0,16%",Sombreffe
22,Vox Populi Belgica,-,26,-,"0,52%",Sombreffe
0,ECOLO,1.048,630,"21,68%","15,68%",Assesse
1,CDH,1.060,530,"21,93%","13,19%",Assesse
2,MR,1.125,1.245,"23,27%","30,99%",Assesse
3,PARTI POPULAIRE,106,109,"2,19%","2,71%",Assesse
4,VLAAMS BELANG,16,-,"0,33%",-,Assesse
5,DéFI,210,-,"4,34%",-,Assesse
6,FDF,-,117,-,"2,91%",Assesse
7,PTB,405,-,"8,38%",-,Assesse
8,PTB-GO!,-,114,-,"2,84%",Assesse
9,LISTES DESTEXHE,57,-,"1,18%",-,Assesse
10,PS,640,956,"13,24%","23,80%",Assesse
11,DierAnimal,68,-,"1,41%",-,Assesse
12,NATION,29,15,"0,60%","0,37%",Assesse
13,Collectif Citoyen,28,-,"0,58%",-,Assesse
14,LA DROITE,26,72,"0,54%","1,79%",Assesse
15,AGIR,16,-,"0,33%",-,Assesse
16,MG,-,7,-,"0,17%",Assesse
17,DEBOUT LES BELGES,-,115,-,"2,86%",Assesse
18,R.W.F.,-,37,-,"0,92%",Assesse
19,B.U.B.- Belg.Unie,-,41,-,"1,02%",Assesse
20,FW,-,13,-,"0,32%",Assesse
21,NWA,-,6,-,"0,15%",Assesse
22,Vox Populi Belgica,-,10,-,"0,25%",Assesse
0,ECOLO,12.650,8.006,"18,55%","11,69%",Namur
1,CDH,15.652,12.811,"22,95%","18,71%",Namur
2,MR,10.158,16.510,"14,90%","24,12%",Namur
3,PARTI POPULAIRE,1.419,2.710,"2,08%","3,96%",Namur
4,VLAAMS BELANG,356,-,"0,52%",-,Namur
5,DéFI,3.934,-,"5,77%",-,Namur
6,FDF,-,1.987,-,"2,90%",Namur
7,PTB,7.003,-,"10,27%",-,Namur
8,PTB-GO!,-,3.769,-,"5,51%",Namur
9,LISTES DESTEXHE,1.010,-,"1,48%",-,Namur
10,PS,13.290,18.770,"19,49%","27,42%",Namur
11,DierAnimal,1.153,-,"1,69%",-,Namur
12,NATION,433,383,"0,64%","0,56%",Namur
13,Collectif Citoyen,436,-,"0,64%",-,Namur
14,LA DROITE,385,827,"0,56%","1,21%",Namur
15,AGIR,308,-,"0,45%",-,Namur
16,MG,-,103,-,"0,15%",Namur
17,DEBOUT LES BELGES,-,1.306,-,"1,91%",Namur
18,R.W.F.,-,490,-,"0,72%",Namur
19,B.U.B.- Belg.Unie,-,208,-,"0,30%",Namur
20,FW,-,132,-,"0,19%",Namur
21,NWA,-,145,-,"0,21%",Namur
22,Vox Populi Belgica,-,304,-,"0,44%",Namur
0,ECOLO,241,158,"7,37%","4,95%",Cerfontaine
1,CDH,226,261,"6,91%","8,17%",Cerfontaine
2,MR,1.604,1.670,"49,04%","52,27%",Cerfontaine
3,PARTI POPULAIRE,74,148,"2,26%","4,63%",Cerfontaine
4,VLAAMS BELANG,19,-,"0,58%",-,Cerfontaine
5,DéFI,92,-,"2,81%",-,Cerfontaine
6,FDF,-,44,-,"1,38%",Cerfontaine
7,PTB,439,-,"13,42%",-,Cerfontaine
8,PTB-GO!,-,111,-,"3,47%",Cerfontaine
9,LISTES DESTEXHE,28,-,"0,86%",-,Cerfontaine
10,PS,461,649,"14,09%","20,31%",Cerfontaine
11,DierAnimal,17,-,"0,52%",-,Cerfontaine
12,NATION,13,7,"0,40%","0,22%",Cerfontaine
13,Collectif Citoyen,26,-,"0,79%",-,Cerfontaine
14,LA DROITE,15,45,"0,46%","1,41%",Cerfontaine
15,AGIR,16,-,"0,49%",-,Cerfontaine
16,MG,-,4,-,"0,13%",Cerfontaine
17,DEBOUT LES BELGES,-,65,-,"2,03%",Cerfontaine
18,R.W.F.,-,12,-,"0,38%",Cerfontaine
19,B.U.B.- Belg.Unie,-,3,-,"0,09%",Cerfontaine
20,FW,-,2,-,"0,06%",Cerfontaine
21,NWA,-,10,-,"0,31%",Cerfontaine
22,Vox Populi Belgica,-,6,-,"0,19%",Cerfontaine
0,ECOLO,204,132,"10,54%","7,06%",Doische
1,CDH,183,224,"9,46%","11,98%",Doische
2,MR,471,628,"24,34%","33,58%",Doische
3,PARTI POPULAIRE,84,70,"4,34%","3,74%",Doische
4,VLAAMS BELANG,11,-,"0,57%",-,Doische
5,DéFI,52,-,"2,69%",-,Doische
6,FDF,-,41,-,"2,19%",Doische
7,PTB,300,-,"15,50%",-,Doische
8,PTB-GO!,-,75,-,"4,01%",Doische
9,LISTES DESTEXHE,10,-,"0,52%",-,Doische
10,PS,520,590,"26,87%","31,55%",Doische
11,DierAnimal,36,-,"1,86%",-,Doische
12,NATION,13,9,"0,67%","0,48%",Doische
13,Collectif Citoyen,24,-,"1,24%",-,Doische
14,LA DROITE,15,25,"0,78%","1,34%",Doische
15,AGIR,12,-,"0,62%",-,Doische
16,MG,-,4,-,"0,21%",Doische
17,DEBOUT LES BELGES,-,40,-,"2,14%",Doische
18,R.W.F.,-,13,-,"0,70%",Doische
19,B.U.B.- Belg.Unie,-,6,-,"0,32%",Doische
20,FW,-,3,-,"0,16%",Doische
21,NWA,-,6,-,"0,32%",Doische
22,Vox Populi Belgica,-,4,-,"0,21%",Doische
0,ECOLO,646,370,"11,25%","6,47%",Philippeville
1,CDH,671,1.039,"11,68%","18,15%",Philippeville
2,MR,1.217,1.507,"21,19%","26,33%",Philippeville
3,PARTI POPULAIRE,261,283,"4,54%","4,94%",Philippeville
4,VLAAMS BELANG,62,-,"1,08%",-,Philippeville
5,DéFI,188,-,"3,27%",-,Philippeville
6,FDF,-,104,-,"1,82%",Philippeville
7,PTB,894,-,"15,56%",-,Philippeville
8,PTB-GO!,-,281,-,"4,91%",Philippeville
9,LISTES DESTEXHE,91,-,"1,58%",-,Philippeville
10,PS,1.367,1.691,"23,80%","29,55%",Philippeville
11,DierAnimal,63,-,"1,10%",-,Philippeville
12,NATION,77,59,"1,34%","1,03%",Philippeville
13,Collectif Citoyen,62,-,"1,08%",-,Philippeville
14,LA DROITE,82,97,"1,43%","1,69%",Philippeville
15,AGIR,63,-,"1,10%",-,Philippeville
16,MG,-,7,-,"0,12%",Philippeville
17,DEBOUT LES BELGES,-,153,-,"2,67%",Philippeville
18,R.W.F.,-,46,-,"0,80%",Philippeville
19,B.U.B.- Belg.Unie,-,10,-,"0,17%",Philippeville
20,FW,-,20,-,"0,35%",Philippeville
21,NWA,-,18,-,"0,31%",Philippeville
22,Vox Populi Belgica,-,38,-,"0,66%",Philippeville
0,ECOLO,1.225,742,"16,19%","9,83%",Rochefort
1,CDH,799,857,"10,56%","11,35%",Rochefort
2,MR,1.912,2.778,"25,27%","36,80%",Rochefort
3,PARTI POPULAIRE,200,250,"2,64%","3,31%",Rochefort
4,VLAAMS BELANG,42,-,"0,56%",-,Rochefort
5,DéFI,241,-,"3,19%",-,Rochefort
6,FDF,-,153,-,"2,03%",Rochefort
7,PTB,903,-,"11,94%",-,Rochefort
8,PTB-GO!,-,246,-,"3,26%",Rochefort
9,LISTES DESTEXHE,82,-,"1,08%",-,Rochefort
10,PS,1.911,2.182,"25,26%","28,90%",Rochefort
11,DierAnimal,94,-,"1,24%",-,Rochefort
12,NATION,21,21,"0,28%","0,28%",Rochefort
13,Collectif Citoyen,53,-,"0,70%",-,Rochefort
14,LA DROITE,46,71,"0,61%","0,94%",Rochefort
15,AGIR,36,-,"0,48%",-,Rochefort
16,MG,-,12,-,"0,16%",Rochefort
17,DEBOUT LES BELGES,-,123,-,"1,63%",Rochefort
18,R.W.F.,-,37,-,"0,49%",Rochefort
19,B.U.B.- Belg.Unie,-,25,-,"0,33%",Rochefort
20,FW,-,17,-,"0,23%",Rochefort
21,NWA,-,10,-,"0,13%",Rochefort
22,Vox Populi Belgica,-,25,-,"0,33%",Rochefort
0,ECOLO,1.330,753,"11,48%","6,51%",Walcourt
1,CDH,1.028,1.375,"8,87%","11,88%",Walcourt
2,MR,2.378,3.045,"20,53%","26,32%",Walcourt
3,PARTI POPULAIRE,630,917,"5,44%","7,92%",Walcourt
4,VLAAMS BELANG,119,-,"1,03%",-,Walcourt
5,DéFI,532,-,"4,59%",-,Walcourt
6,FDF,-,299,-,"2,58%",Walcourt
7,PTB,1.665,-,"14,37%",-,Walcourt
8,PTB-GO!,-,615,-,"5,32%",Walcourt
9,LISTES DESTEXHE,206,-,"1,78%",-,Walcourt
10,PS,2.889,3.685,"24,94%","31,85%",Walcourt
11,DierAnimal,131,-,"1,13%",-,Walcourt
12,NATION,102,80,"0,88%","0,69%",Walcourt
13,Collectif Citoyen,332,-,"2,87%",-,Walcourt
14,LA DROITE,141,211,"1,22%","1,82%",Walcourt
15,AGIR,101,-,"0,87%",-,Walcourt
16,MG,-,30,-,"0,26%",Walcourt
17,DEBOUT LES BELGES,-,341,-,"2,95%",Walcourt
18,R.W.F.,-,72,-,"0,62%",Walcourt
19,B.U.B.- Belg.Unie,-,19,-,"0,16%",Walcourt
20,FW,-,39,-,"0,34%",Walcourt
21,NWA,-,35,-,"0,30%",Walcourt
22,Vox Populi Belgica,-,55,-,"0,48%",Walcourt
0,Open Vld,3.203,4.727,"15,52%","23,02%",Aarschot
1,N-VA,5.301,5.694,"25,68%","27,73%",Aarschot
2,VLAAMS BELANG,3.848,1.354,"18,64%","6,59%",Aarschot
3,CD&V,2.950,4.045,"14,29%","19,70%",Aarschot
4,DéFI,20,-,"0,10%",-,Aarschot
5,FDF,-,27,-,"0,13%",Aarschot
6,PVDA,1.063,-,"5,15%",-,Aarschot
7,PVDA+,-,452,-,"2,20%",Aarschot
8,GROEN,1.852,1.543,"8,97%","7,52%",Aarschot
9,sp.a,2.231,2.510,"10,81%","12,22%",Aarschot
10,PRO,85,-,"0,41%",-,Aarschot
11,BUB Belgische Unie,86,-,"0,42%",-,Aarschot
12,ROSSEM,-,109,-,"0,53%",Aarschot
13,PP,-,30,-,"0,15%",Aarschot
14,B.U.B.-Belg.Unie,-,41,-,"0,20%",Aarschot
0,Open Vld,871,1.569,"12,22%","22,18%",Begijnendijk
1,N-VA,2.126,2.315,"29,82%","32,72%",Begijnendijk
2,VLAAMS BELANG,1.539,408,"21,58%","5,77%",Begijnendijk
3,CD&V,975,1.322,"13,67%","18,69%",Begijnendijk
4,DéFI,2,-,"0,03%",-,Begijnendijk
5,FDF,-,5,-,"0,07%",Begijnendijk
6,PVDA,332,-,"4,66%",-,Begijnendijk
7,PVDA+,-,146,-,"2,06%",Begijnendijk
8,GROEN,558,499,"7,83%","7,05%",Begijnendijk
9,sp.a,628,761,"8,81%","10,76%",Begijnendijk
10,PRO,71,-,"1,00%",-,Begijnendijk
11,BUB Belgische Unie,28,-,"0,39%",-,Begijnendijk
12,ROSSEM,-,30,-,"0,42%",Begijnendijk
13,PP,-,6,-,"0,08%",Begijnendijk
14,B.U.B.-Belg.Unie,-,14,-,"0,20%",Begijnendijk
0,Open Vld,1.126,2.001,"14,83%","26,82%",Tielt-Winge
1,N-VA,2.411,2.143,"31,74%","28,73%",Tielt-Winge
2,VLAAMS BELANG,1.300,382,"17,12%","5,12%",Tielt-Winge
3,CD&V,1.129,1.357,"14,87%","18,19%",Tielt-Winge
4,DéFI,5,-,"0,07%",-,Tielt-Winge
5,FDF,-,10,-,"0,13%",Tielt-Winge
6,PVDA,341,-,"4,49%",-,Tielt-Winge
7,PVDA+,-,146,-,"1,96%",Tielt-Winge
8,GROEN,600,509,"7,90%","6,82%",Tielt-Winge
9,sp.a,639,858,"8,41%","11,50%",Tielt-Winge
10,PRO,22,-,"0,29%",-,Tielt-Winge
11,BUB Belgische Unie,22,-,"0,29%",-,Tielt-Winge
12,ROSSEM,-,34,-,"0,46%",Tielt-Winge
13,PP,-,9,-,"0,12%",Tielt-Winge
14,B.U.B.-Belg.Unie,-,11,-,"0,15%",Tielt-Winge
0,Open Vld,1.349,2.517,"15,07%","28,07%",Affligem
1,N-VA,2.759,3.253,"30,82%","36,27%",Affligem
2,VLAAMS BELANG,1.720,435,"19,22%","4,85%",Affligem
3,CD&V,1.599,1.532,"17,86%","17,08%",Affligem
4,DéFI,48,-,"0,54%",-,Affligem
5,FDF,-,29,-,"0,32%",Affligem
6,PVDA,290,-,"3,24%",-,Affligem
